"icd9pro","d9carotid","d9cArtery","d9pArtery","d9BariatricSurg","d9Renal","d9Transplant","d9Dialysis","d9Kidney_Transplant"
"186",0,0,0,0,0,0,0,0
"1871",0,0,0,0,0,0,0,0
"1872",0,0,0,0,0,0,0,0
"1879",0,0,0,0,0,0,0,0
"189",0,0,0,0,0,0,0,0
"1910",0,0,0,0,0,0,0,0
"1911",0,0,0,0,0,0,0,0
"1912",0,0,0,0,0,0,0,0
"1919",0,0,0,0,0,0,0,0
"1921",0,0,0,0,0,0,0,0
"1929",0,0,0,0,0,0,0,0
"193",0,0,0,0,0,0,0,0
"194",0,0,0,0,0,0,0,0
"1952",0,0,0,0,0,0,0,0
"1953",0,0,0,0,0,0,0,0
"1954",0,0,0,0,0,0,0,0
"1955",0,0,0,0,0,0,0,0
"196",0,0,0,0,0,0,0,0
"199",0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0
"200",0,0,0,0,0,0,0,0
"2001",0,0,0,0,0,0,0,0
"2009",0,0,0,0,0,0,0,0
"201",0,0,0,0,0,0,0,0
"2020",0,0,0,0,0,0,0,0
"2021",0,0,0,0,0,0,0,0
"2022",0,0,0,0,0,0,0,0
"2023",0,0,0,0,0,0,0,0
"2032",0,0,0,0,0,0,0,0
"2039",0,0,0,0,0,0,0,0
"204",0,0,0,0,0,0,0,0
"2041",0,0,0,0,0,0,0,0
"2042",0,0,0,0,0,0,0,0
"2049",0,0,0,0,0,0,0,0
"2051",0,0,0,0,0,0,0,0
"2052",0,0,0,0,0,0,0,0
"2055",0,0,0,0,0,0,0,0
"20552",0,0,0,0,0,0,0,0
"2059",0,0,0,0,0,0,0,0
"206",0,0,0,0,0,0,0,0
